track_id,vehicle_class,first_frame,last_frame,max_speed_kmh,avg_speed_kmh,overspeed_flag,total_lane_crossings
1,Truck,1,15,51.43,49.3,0,0
2,Car,1,312,50.4,35.11,0,0
3,Car,1,54,84.0,75.07,1,0
4,Car,1,152,80.0,53.8,1,0
5,Car,1,201,75.6,39.02,1,0
6,Car,1,144,103.85,67.11,1,3
7,Car,1,119,109.29,78.89,1,0
8,Truck,1,324,118.12,43.72,1,0
9,Car,1,113,50.4,27.93,0,0
10,Car,1,143,128.57,81.58,1,0
11,Car,1,277,108.0,37.8,1,0
12,Car,1,292,48.46,37.44,0,0
13,Car,1,264,159.23,63.89,1,0
14,Car,1,118,118.8,34.81,1,0
15,Car,1,28,25.0,19.11,0,0
16,Car,1,198,122.14,62.53,1,2
19,Car,6,35,41.54,33.51,0,0
20,Car,13,295,56.25,43.28,0,0
21,Car,24,374,146.25,50.71,1,1
22,Car,43,457,106.88,44.82,1,0
23,Car,56,363,54.0,41.52,0,0
24,Car,58,294,55.38,42.74,0,0
25,Car,64,400,96.92,45.96,1,0
26,Car,98,231,97.2,50.41,1,0
27,Car,105,328,61.2,47.14,1,0
28,Truck,142,360,50.87,42.87,0,0
29,Car,145,414,111.6,63.59,1,0
30,Car,159,197,180.0,166.78,1,0
31,Car,171,194,47.14,37.87,0,0
32,Car,182,357,79.2,52.09,1,0
33,Car,182,435,54.0,40.38,0,1
34,Truck,184,782,90.0,31.57,1,1
35,Car,192,277,97.2,69.2,1,0
36,Car,202,421,64.8,43.61,1,0
37,Car,204,575,86.4,48.44,1,1
38,Car,204,255,83.08,50.91,1,0
39,Truck,216,705,86.4,36.04,1,0
40,Car,218,469,82.8,53.4,1,0
41,Car,237,620,79.2,43.01,1,0
42,Car,249,396,111.6,61.05,1,1
43,Car,250,652,39.6,28.59,0,0
44,Truck,259,684,43.2,32.05,0,0
45,Truck,271,348,24.0,20.58,0,0
46,Car,274,610,115.2,54.41,1,0
47,Car,278,690,75.6,37.91,1,0
48,Car,287,448,131.54,70.3,1,0
49,Car,312,632,90.0,48.83,1,0
50,Car,320,612,60.0,44.66,1,0
51,Car,357,654,45.0,35.11,0,0
52,Car,369,495,60.0,51.24,1,0
54,Car,370,900,90.0,32.27,1,0
56,Car,383,466,75.6,67.69,1,0
57,Car,389,673,166.15,67.01,1,1
58,Car,391,478,79.2,57.14,1,0
59,Truck,394,477,32.14,13.01,0,0
60,Car,395,604,72.0,52.79,1,0
61,Car,396,760,75.6,43.69,1,0
62,Car,400,484,75.6,66.95,1,0
63,Car,401,578,50.4,44.76,0,1
64,Car,402,511,75.6,64.35,1,0
66,Car,427,535,72.0,63.85,1,0
68,Car,434,562,75.6,61.87,1,0
69,Car,444,777,57.6,37.01,0,1
70,Truck,464,724,54.0,42.67,0,3
71,Car,468,718,62.31,46.53,1,0
72,Car,499,725,63.0,48.69,1,0
73,Truck,515,613,18.0,10.13,0,0
74,Car,523,554,75.6,66.77,1,0
75,Car,527,854,94.29,55.01,1,1
76,Car,535,841,90.0,58.03,1,3
77,Car,553,897,72.0,44.39,1,0
78,Car,558,838,75.6,57.08,1,0
79,Car,584,607,37.89,23.96,0,0
81,Car,604,869,108.0,67.78,1,0
82,Car,611,966,96.0,50.73,1,0
84,Car,623,892,64.8,47.21,1,0
88,Car,661,749,61.2,48.04,1,0
90,Truck,672,1060,36.0,28.3,0,0
91,Car,696,1017,117.69,51.17,1,0
92,Car,703,725,13.85,10.78,0,0
93,Car,704,973,86.4,60.98,1,0
94,Car,737,1048,104.21,56.8,1,0
95,Car,741,896,82.8,62.74,1,0
96,Truck,750,1060,36.0,28.96,0,0
97,Truck,760,1060,36.0,27.97,0,0
98,Car,765,1057,126.0,61.26,1,0
99,Car,773,1060,56.25,44.57,0,0
100,Car,813,1060,55.71,42.73,0,0
101,Car,832,1060,57.6,43.24,0,0
102,Car,832,1060,61.2,40.77,1,0
103,Car,839,1060,65.45,52.93,1,0
104,Car,867,1060,82.8,56.23,1,0
105,Car,869,921,82.8,74.9,1,0
106,Truck,876,1060,75.6,37.17,1,0
107,Car,907,1060,58.24,48.74,0,0
108,Car,926,1060,71.05,54.99,1,0
109,Car,938,978,65.45,54.0,1,0
110,Car,948,1060,64.29,45.04,1,0
112,Car,974,1060,55.38,50.01,0,0
113,Car,974,1060,54.0,46.66,0,0
115,Car,1021,1060,74.35,64.04,1,0
116,Truck,1026,1060,131.54,76.63,1,0
117,Car,1027,1060,90.0,78.68,1,0
118,Truck,1031,1049,60.0,57.55,1,0
119,Car,1039,1060,40.5,37.44,0,0
